회사명,회계년도,주식수익률변동성
노루페인트,2017,0.027597566417493575
노루페인트,2018,0.056812332842030744
노루페인트,2019,0.032814956635787554
노루페인트,2020,0.06084914789426946
노루페인트,2021,0.09215860691134824
대동,2010,0.07422283694875084
대동,2011,0.05222349381360547
대동,2012,0.07635284578944301
대동,2013,0.03312782053571979
대동,2014,0.05163660379701991
대동,2015,0.047378021084209944
대동,2016,0.0373713676061032
대동,2017,0.04728565758643755
대동,2018,0.07286941185888762
대동,2019,0.05730013167165307
대동,2020,0.08173492170426869
대동,2021,0.07640631288663802
대상홀딩스,2010,0.026515323716754687
대상홀딩스,2011,0.04021384691730613
대상홀딩스,2012,0.04122806709031243
대상홀딩스,2013,0.036456304685278385
대상홀딩스,2014,0.06472997071708764
대상홀딩스,2015,0.05286526934621624
대상홀딩스,2016,0.060087199769462814
대상홀딩스,2017,0.03330896615108472
대상홀딩스,2018,0.029025183602592
대상홀딩스,2019,0.031135362458971482
대상홀딩스,2020,0.08463213573997336
대상홀딩스,2021,0.04470261526434004
대한제당,2010,0.05166212159232415
대한제당,2011,0.06143275057535876
대한제당,2012,0.03895111442451082
대한제당,2013,0.052719608917911255
대한제당,2014,0.041609863680232076
대한제당,2015,0.03288088601196489
대한제당,2016,0.029579677509093752
대한제당,2017,0.02239948148999598
대한제당,2018,0.030420004427551103
대한제당,2019,0.05383788713087999
대한제당,2020,0.04995772078637532
대한제당,2021,0.06390382645338138
대한제분,2010,0.037730669418965634
대한제분,2011,0.04227332186561552
대한제분,2012,0.05270051958863304
대한제분,2013,0.03884936110957328
대한제분,2014,0.04622360429501085
대한제분,2015,0.06121178654586195
대한제분,2016,0.02740137233825523
대한제분,2017,0.020234623925732647
대한제분,2018,0.02579289459231573
대한제분,2019,0.038182300528176685
대한제분,2020,0.06252896321628895
대한제분,2021,0.04098461645826891
삼천리,2010,0.027094474806502164
삼천리,2011,0.016396468068089327
삼천리,2012,0.03764922215032161
삼천리,2013,0.030109111383460733
삼천리,2014,0.039165114754585964
삼천리,2015,0.03755751687436319
삼천리,2016,0.030733945941739574
삼천리,2017,0.026788322655328736
삼천리,2018,0.03160444351484444
삼천리,2019,0.02103529641896456
삼천리,2020,0.04603603712561872
삼천리,2021,0.026705984239383886
세방전지,2010,0.04102296470880834
세방전지,2011,0.03901019511213595
세방전지,2012,0.025565200741993085
세방전지,2013,0.038565180507579
