회사명,회계년도,roa변동성
대한제당(주),Dec.14,0.5801149311415225
대한제당(주),Dec.15,0.7450503338701352
대한제당(주),Dec.16,0.9681425514871244
대한제당(주),Dec.17,1.3882723075823413
대한제당(주),Dec.18,1.435699597176698
대한제당(주),Dec.19,0.4398105652816146
대한제당(주),Dec.20,0.22715633383201106
대한제당(주),Dec.21,0.5711683931498079
대한제분(주),Dec.11,4.9523967261653565
대한제분(주),Dec.12,3.5548980294798898
대한제분(주),Dec.13,2.5866645188994526
대한제분(주),Dec.14,1.5008997301618798
대한제분(주),Dec.15,1.075654839311076
대한제분(주),Dec.16,1.1093691901256335
대한제분(주),Dec.17,0.5089531740085104
대한제분(주),Dec.18,1.429160592795647
대한제분(주),Dec.19,1.5542307850938157
대한제분(주),Dec.20,2.3274950769729545
대한제분(주),Dec.21,2.2312851304423957
세방전지(주),Dec.11,2.9350014196475844
세방전지(주),Dec.12,0.8631531343471711
세방전지(주),Dec.13,1.9185497995447898
세방전지(주),Dec.14,3.8315575597051077
세방전지(주),Dec.15,3.287222738625019
세방전지(주),Dec.16,0.8556479026640401
세방전지(주),Dec.17,0.9218098140795495
세방전지(주),Dec.18,1.0740577265678235
세방전지(주),Dec.19,1.1606463716395454
세방전지(주),Dec.20,1.2779801772067418
세방전지(주),Dec.21,1.8243994445661769
에스케이텔레콤(주),Dec.11,1.7207653336040138
에스케이텔레콤(주),Dec.12,1.5363701810870103
에스케이텔레콤(주),Dec.13,1.6187752572032146
에스케이텔레콤(주),Dec.14,1.1493621419436673
에스케이텔레콤(주),Dec.15,1.1263362434607769
에스케이텔레콤(주),Dec.16,0.6296295206971587
에스케이텔레콤(주),Dec.17,0.6700248751601198
에스케이텔레콤(주),Dec.18,1.5960263155725227
에스케이텔레콤(주),Dec.19,1.5561598032764283
에스케이텔레콤(주),Dec.20,3.6114124660581206
에스케이텔레콤(주),Dec.21,3.3223084344072165
태경산업(주),Dec.11,0.6404946005497115
태경산업(주),Dec.12,1.6279537257960772
태경산업(주),Dec.13,1.6784814565552968
태경산업(주),Dec.14,2.4903078792256412
태경산업(주),Dec.15,2.3388031127052935
태경산업(주),Dec.16,2.0617468321789563
태경산업(주),Dec.17,1.8504864225386686
태경산업(주),Dec.18,1.8198992646114494
태경산업(주),Dec.19,0.983378530034747
태경산업(주),Dec.20,1.5279725128417627
태경산업(주),Dec.21,1.5326556473432982
태경케미컬(주),Dec.11,3.1146749429113787
태경케미컬(주),Dec.12,3.6117355015744614
태경케미컬(주),Dec.13,4.30500871079258
태경케미컬(주),Dec.14,2.5682743882485246
태경케미컬(주),Dec.15,1.9761157186089406
태경케미컬(주),Dec.16,0.70682388188289
태경케미컬(주),Dec.17,1.197539143410351
태경케미컬(주),Dec.18,1.5918228544659097
태경케미컬(주),Dec.19,0.9218098140795258
태경케미컬(주),Dec.20,3.278841258737604
태경케미컬(주),Dec.21,2.5704150118868605
