회사명,거래소코드,회계년도,[공통]총자본순이익률(IFRS),[공통]총자본순이익률(IFRS연결)
태경산업(주),15890,Dec.11,3.98,6.34
태경산업(주),15890,Dec.12,5.11,5.77
태경산업(주),15890,Dec.13,2.02,1.77
태경산업(주),15890,Dec.14,2.27,1.67
태경산업(주),15890,Dec.15,-3.85,-1.85
태경산업(주),15890,Dec.16,3.73,0.9
태경산업(주),15890,Dec.17,3.91,1.59
태경산업(주),15890,Dec.18,4.72,2.84
태경산업(주),15890,Dec.19,15.81,4.63
태경산업(주),15890,Dec.20,0.81,1.58
태경산업(주),15890,Dec.21,6.13,5.02
태경케미컬(주),6890,Dec.07,5.45,5.45
태경케미컬(주),6890,Dec.08,10.1,10.1
태경케미컬(주),6890,Dec.09,14.44,14.44
태경케미컬(주),6890,Dec.10,7.82,16.14
태경케미컬(주),6890,Dec.11,8.36,9.21
태경케미컬(주),6890,Dec.12,7.6,8.25
태경케미컬(주),6890,Dec.13,6.21,4.36
태경케미컬(주),6890,Dec.14,5.99,5.7
태경케미컬(주),6890,Dec.15,4.84,4.64
태경케미컬(주),6890,Dec.16,3.89,3.31
태경케미컬(주),6890,Dec.17,1.84,1.47
태경케미컬(주),6890,Dec.18,3.37,2.49
태경케미컬(주),6890,Dec.19,2.81,7.59
태경케미컬(주),6890,Dec.20,5.3,5.6
태경케미컬(주),6890,Dec.21,6.92,7.24
