,회사명,회계년도,자산총계,자본총계,부채총계,매출액증가율,영업활동현금흐름,보통주총배당금,상장일,종가,최대주주지분율,외국인지분율,소액주주주식수,우선주자본금,발행주식 보통주,ROA
51,LS,2013,1.00068E+13,3.00714E+12,6.99967E+12,-3.67,4.98326E+11,34709000000,1977-06-30,80900,33.43,16.78,14013516,0,32200000,1.64
52,LS,2014,1.03357E+13,3.03311E+12,7.30263E+12,-4.88,4.09172E+11,34709000000,1977-06-30,54300,33.42,20.04,14237818,0,32200000,0.85
53,LS,2015,9.88147E+12,2.95359E+12,6.92788E+12,-8.14,4.64096E+11,34708839000,1977-06-30,40350,33.43,10.94,15004851,0,32200000,-0.73
54,LS,2016,9.71304E+12,3.25523E+12,6.4578E+12,-3.78,8.07927E+11,34708839000,1977-06-30,59300,33.42,20.74,14038386,0,32200000,2.2
55,LS,2017,9.9789E+12,3.63211E+12,6.34679E+12,-1.1,2.37436E+11,34708839000,1977-06-30,72500,33.42,19.36,15005479,0,32200000,3.71
56,LS,2018,1.04903E+13,4.35956E+12,6.13073E+12,6.25,49863000000,34708839000,1977-06-30,49100,33.23,17.73,14486691,0,32200000,4.76
57,LS,2019,1.07635E+13,4.27133E+12,6.49218E+12,0.65,3.03727E+11,40262253000,1977-06-30,47800,32.32,13.78,13985442,0,32200000,0.87
58,LS,2020,1.16605E+13,4.4485E+12,7.21204E+12,2.63,7.01304E+11,40262253000,1977-06-30,71400,35.21,11.85,14729296,0,32200000,1.74
59,LS,2021,1.26259E+13,4.71027E+12,7.91567E+12,25.32,-1.33177E+11,40262253000,1977-06-30,54100,32.23,13.92,15109132,0,32200000,2.9
60,LF,2010,9.76874E+11,7.41627E+11,2.35246E+11,0,1.39395E+11,11696000000,2006-12-01,31350,38.25,19.76,12460267,0,29240000,9.85
61,LF,2011,1.17274E+12,8.24936E+11,3.47806E+11,0,-61072078000,11696000000,2006-12-01,40400,38.66,21.21,15375479,0,29240000,7.99
62,LF,2012,1.20806E+12,8.74708E+11,3.33352E+11,1.89,1.79479E+11,11696000000,2006-12-01,31300,38.62,12.22,13455877,0,29240000,4.77
63,LF,2013,1.29158E+12,9.14948E+11,3.76632E+11,1.33,1.72142E+11,11696000000,2006-12-01,33700,39.65,27.81,12090471,0,29240000,5.19
64,LF,2014,1.40297E+12,9.82963E+11,4.20003E+11,-1.74,1.02548E+11,14620000000,2006-12-01,29900,39.69,38.01,10923737,0,29240000,6.02
65,LF,2015,1.47485E+12,1.01756E+12,4.57297E+11,7.59,51651981000,14620000000,2006-12-01,27000,39.62,30.87,11419911,0,29240000,3.52
66,LF,2016,1.58114E+12,1.05219E+12,5.28952E+11,-2.66,1.413E+11,14620000000,2006-12-01,21550,40.13,25.89,12085145,0,29240000,3.35
67,LF,2017,1.59483E+12,1.10332E+12,4.91507E+11,4.76,1.19459E+11,14620000000,2006-12-01,31300,39.89,37.57,14132559,0,29240000,4.41
68,LF,2018,1.65184E+12,1.18343E+12,4.68412E+11,6.53,1.24688E+11,14620000000,2006-12-01,24850,39.97,37.98,14931888,0,29240000,5.01
69,LF,2019,2.41713E+12,1.39154E+12,1.02559E+12,8.5,1.53092E+11,14620000000,2006-12-01,18500,39.95,30.47,14071179,0,29240000,3.41
70,LF,2020,2.47944E+12,1.41442E+12,1.06502E+12,-13.03,3.05615E+11,14230000000,2006-12-01,14700,44.81,22.96,12196215,0,29240000,1.17
71,LF,2021,2.54114E+12,1.49837E+12,1.04277E+12,11.34,3.10841E+11,17076000000,2006-12-01,17250,47.74,23.97,13312523,0,29240000,5.42
72,유니드,2010,6.34716E+11,4.15585E+11,2.19132E+11,4.58,75153841000,7243576000,2004-12-03,55100,55.6,4.49,1952582,0,6585069,13.39
73,유니드,2011,9.62778E+11,4.75029E+11,4.87749E+11,18.73,-35204405000,4939000000,2004-12-03,51100,55.6,5.8,1783036,0,6585069,8.3
74,유니드,2012,8.43082E+11,4.71831E+11,3.7125E+11,-5.03,98720760000,4880000000,2004-12-03,38200,55.66,6.04,1990016,0,6585069,0.5
75,유니드,2013,8.80892E+11,4.94312E+11,3.8658E+11,5.17,52514573000,6585069000,2004-12-03,59200,55.66,5.44,1624944,0,6585069,4.17
76,유니드,2014,8.31508E+11,5.29567E+11,3.01941E+11,-1.87,62589107000,7243576000,2004-12-03,57500,54.3,5.15,2244167,0,6585069,5.34
77,유니드,2015,1.03681E+12,6.07188E+11,4.29621E+11,5.84,-3550004000,9778827000,2004-12-03,45700,47.27,7.18,2725820,0,8889843,7.59
78,유니드,2016,1.04678E+12,6.31742E+11,4.15043E+11,4.61,1.82916E+11,9777886000,2004-12-03,44700,46.79,7.75,2788080,0,8889843,4.65
79,유니드,2017,1.11315E+12,6.49487E+11,4.63661E+11,2.9,-18991155000,9777886000,2004-12-03,46550,46.71,7.21,2894498,0,8889843,3.8
80,유니드,2018,1.11186E+12,6.55427E+11,4.56429E+11,6.77,54950769000,9778827000,2004-12-03,42000,45.96,5.77,3388582,0,8889843,3.23
81,유니드,2019,1.07629E+12,7.08809E+11,3.67477E+11,7.51,72484062000,10667812000,2004-12-03,46750,45.63,6,3455513,0,8889843,6.17
82,유니드,2020,1.12079E+12,7.81998E+11,3.38797E+11,1.75,1.57896E+11,12224580000,2004-12-03,48300,46.58,11.53,3736198,0,8889843,6.99
83,유니드,2021,1.34771E+12,9.93091E+11,3.5462E+11,0,1.21769E+11,14844133000,2004-12-03,100500,45.44,14.52,4316066,0,8889843,13.54
