회사명,회계년도,주식수익률
대동,2018,-0.4604166666666667
대동,2019,0.09652509652509655
대동,2020,0.20070422535211274
대동,2021,0.4809384164222874
대상홀딩스,2011,0.21932515337423308
대상홀딩스,2012,0.6100628930817611
대상홀딩스,2013,0.30000000000000004
대상홀딩스,2014,1.0192307692307692
대상홀딩스,2015,0.13988095238095233
대상홀딩스,2016,-0.4621409921671018
대상홀딩스,2017,-0.03398058252427183
대상홀딩스,2018,-0.2100502512562814
대상홀딩스,2019,-0.14249363867684484
대상홀딩스,2020,0.513353115727003
대상홀딩스,2021,-0.0490196078431373
대정화금,2011,0.06640625
대정화금,2012,-0.31648351648351647
대정화금,2013,0.0986066452304395
대정화금,2014,-0.06439024390243897
대정화금,2015,0.35557872784150146
대정화금,2016,-0.02692307692307694
대정화금,2017,-0.02766798418972327
대정화금,2018,0.04471544715447151
대정화금,2019,0.16342412451361876
대정화금,2020,1.5351170568561874
대정화금,2021,-0.4274406332453826
대한제당,2011,-0.20962732919254656
대한제당,2012,0.08349705304518662
대한제당,2013,0.0924750679963735
대한제당,2014,0.03526970954356856
대한제당,2015,-0.19238476953907813
대한제당,2016,0.19106699751861034
대한제당,2017,0.02083333333333326
대한제당,2018,-0.22448979591836737
대한제당,2019,0.050000000000000044
대한제당,2020,0.15037593984962405
대한제당,2021,0.3159041394335511
대한제분,2011,-0.06629834254143652
대한제분,2012,-0.1775147928994083
대한제분,2013,0.10431654676258995
대한제분,2014,0.013029315960912058
대한제분,2015,0.18327974276527326
대한제분,2016,-0.021739130434782594
대한제분,2017,-0.07499999999999996
대한제분,2018,0.05705705705705699
대한제분,2019,-0.16193181818181823
대한제분,2020,0.12542372881355934
대한제분,2021,-0.06927710843373491
삼천리,2011,-0.17567567567567566
삼천리,2012,0.360655737704918
삼천리,2013,0.02008032128514059
삼천리,2014,0.09448818897637801
삼천리,2015,-0.262589928057554
삼천리,2016,-0.009756097560975618
삼천리,2017,0.11330049261083741
삼천리,2018,-0.19469026548672563
삼천리,2019,-0.0714285714285714
삼천리,2020,-0.03668639053254441
삼천리,2021,0.11547911547911549
세방전지,2011,0.3399390243902438
세방전지,2012,0.07281001137656418
세방전지,2013,0.16224814422057254
세방전지,2014,-0.27919708029197077
세방전지,2015,0.03417721518987338
세방전지,2016,-0.0844553243574051
세방전지,2017,-0.044117647058823484
세방전지,2018,0.005594405594405494
세방전지,2019,0.037552155771905404
세방전지,2020,0.8471849865951742
세방전지,2021,0.10159651669085634
유니드,2011,-0.07259425998874502
유니드,2012,-0.2524535669058674
유니드,2013,0.5497794247397212
유니드,2014,-0.028715870015712852
유니드,2015,0.07146206508487296
유니드,2016,-0.021881838074398252
유니드,2017,0.04138702460850108
유니드,2018,-0.09774436090225569
유니드,2019,0.11309523809523814
유니드,2020,0.03315508021390379
유니드,2021,1.0807453416149069
유한양행,2011,-0.26511976047904195
유한양행,2012,0.35684457119576285
유한양행,2013,0.08088428480276244
유한양행,2014,-0.09354816306687963
유한양행,2015,0.6076463377260191
유한양행,2016,-0.23566696849830815
유한양행,2017,0.14556054370869176
유한양행,2018,-0.024166553272554125
유한양행,2019,0.20804863764397474
유한양행,2020,0.6592330955514001
유한양행,2021,-0.13597595759186343
태경산업,2011,-0.3237179487179487
태경산업,2012,0.05529225908372837
태경산업,2013,0.4610778443113772
태경산업,2014,0.18852459016393452
태경산업,2015,-0.0034482758620689724
태경산업,2016,-0.16782006920415227
