,roa,cashflow,g,lvrg,주식수익률,시장가치대장부가치비율,주식수익률변동성,roa변동성,외국인지분율,dps,시가배당률,dy변화,price
60,3.35,0.089365901,-2.66,0.334538371,-0.201851852,0.598867125,0.03003429,1.273302792,25.89,514,2.39,0.152645789,21550
61,4.41,0.074903908,4.76,0.308187707,0.452436195,0.829507305,0.035907176,1.494869002,37.57,514,1.64,-0.244453338,31300
62,5.01,0.075484308,6.53,0.283569837,-0.206070288,0.613989843,0.038491108,0.569297813,37.98,514,2.07,0.146428634,24850
63,3.41,0.063336271,8.5,0.42430072,-0.255533199,0.388734783,0.040527435,0.840555372,30.47,514,2.78,0.206392741,18500
64,1.17,0.123259688,-13.03,0.429540541,-0.205405405,0.303889934,0.055607072,0.808290377,22.96,500,3.40,0.173271721,14700
65,5.42,0.122323445,11.34,0.410355195,0.173469388,0.3366258,0.035026443,1.928868407,23.97,600,3.48,0.018018506,17250
66,8.3,-0.036565444,18.73,0.506605884,-0.07259426,0.708371543,0.040496139,4.11888739,5.8,566,1.50,-0.194394138,37852
67,0.5,0.117095087,-5.03,0.440348626,-0.252453567,0.533135033,0.04208003,3.614281856,6.04,559,1.98,0.180971118,28296
68,4.17,0.059615223,5.17,0.43885062,0.549779425,0.788643781,0.047679587,6.492305702,5.44,754,1.72,-0.095648075,43852
69,5.34,0.075271804,-1.87,0.363124588,-0.02871587,0.715002006,0.029159377,3.902260029,5.15,830,1.95,0.078611888,42593
70,7.59,-0.003423968,5.84,0.41436811,0.071462065,0.669093963,0.034519919,2.525318462,7.18,1120,2.45,0.15855921,45700
71,4.65,0.174741588,4.61,0.396494966,-0.021881838,0.629016247,0.043134338,1.738188712,7.75,1120,2.51,0.014556298,44700
72,3.8,-0.017060733,2.9,0.416530566,0.041387025,0.637152386,0.025577531,1.537432925,7.21,1120,2.41,-0.029327615,46550
73,3.23,0.049422381,6.77,0.410509417,-0.097744361,0.569664365,0.04600575,1.988726561,5.77,1120,2.67,0.074533052,42000
74,6.17,0.067346219,7.51,0.341429355,0.113095238,0.586335896,0.021713765,0.714586127,6,1222,2.61,-0.01390843,46750
75,6.99,0.140879201,1.75,0.302284103,0.03315508,0.549079943,0.049394957,1.559134375,11.53,1400,2.90,0.088410957,48300
76,13.54,0.090352524,0,0.263127824,1.080745342,0.899644868,0.077906997,1.977102257,14.52,1700,1.69,-0.37143536,100500
77,7.24,0.055079167,2.36,0.150176931,-0.26511976,1.274674878,0.048731059,0.807217443,35.01,202,0.99,0.225671998,20321
78,5.95,0.051586043,14.31,0.153139522,0.356844571,1.625380767,0.039406599,2.175224126,25.97,201,0.73,-0.140772554,27573
79,5.93,0.052694544,21.53,0.188724347,0.080884285,1.699599615,0.03795476,2.500819866,24.6,239,0.80,0.045462374,29805
80,5.81,0.058408048,7.83,0.21046616,-0.093548163,1.483005885,0.028616556,0.750621964,24.83,275,1.02,0.120249128,27016
81,7.21,0.067134492,10.93,0.274626794,0.607646338,2.230085181,0.055602987,0.075718778,32.18,314,0.72,-0.159914385,43432
82,8.21,0.036239619,17.02,0.268526448,-0.235666968,1.487882147,0.051675726,0.775972508,29,314,0.99,0.145025772,31797
83,5.3,0.060212348,10.71,0.233138394,0.145560544,1.591657251,0.037369115,1.205542755,23.79,332,0.91,-0.046043939,36512
84,2.73,0.042989789,3.87,0.240166804,-0.024166553,1.512707393,0.058901832,1.478524039,21.87,348,0.98,0.035993603,35683
85,1.71,0.031166358,-2.53,0.220673059,0.208048638,1.8327093,0.030614999,2.741757344,20.36,364,0.84,-0.067911206,43185
86,8.44,0.012045126,9.42,0.228542064,0.659233096,2.720909646,0.049472238,1.849927927,20.3,382,0.53,-0.189917904,71756
87,4.02,0.04018186,0,0.214270987,-0.135975958,2.245981499,0.03289643,3.627152235,16.89,400,0.64,0.069428506,62100
88,11.64,0.07226398,11.96,0.113432178,0.62295082,1.038842025,0.05185852,1.084865583,26.72,470,1.58,-0.177140198,29700
89,7.69,0.076245185,-2.45,0.130883317,-0.008417508,0.955162806,0.054528092,1.320050504,21.86,300,1.02,-0.244691888,29450
90,4.35,0.031689667,-5.15,0.206581271,0.071307301,0.977062663,0.038378362,2.174281491,18.86,300,0.95,-0.035268139,31550
91,3.55,0.006709918,11.49,0.213285126,0.031695721,0.972159032,0.037382335,3.649251065,14.67,300,0.92,-0.015504187,32550
92,7.27,0.047834694,17.5,0.13170425,0.247311828,1.202810308,0.041254467,2.196026715,17.02,300,0.74,-0.098440073,40600
93,5.66,0.017341892,15.44,0.151904588,-0.141625616,0.975022832,0.028839769,1.958094312,21.15,300,0.86,0.066691374,34850
94,4.7,0.058105253,72.57,0.26096369,-0.097560976,0.836994716,0.042064078,1.865591953,16.68,350,1.11,0.12611146,31450
95,6.02,0.166989129,5.74,0.184839069,0.152623211,0.897940496,0.043482213,1.298627481,26.36,400,1.10,-0.004750603,36250
96,6.7,0.1030537,-3.03,0.21009489,-0.129655172,0.743222706,0.045692602,0.682348884,30.75,450,1.43,0.145953913,31550
97,6.15,0.103847651,-5.07,0.217242482,-0.041204437,0.66166754,0.078168201,1.016923465,27.89,450,1.49,0.024391453,30250
98,7.16,0.110529324,0,0.203371054,0.176859504,0.706879928,0.046453199,0.360970913,28.46,600,1.69,0.077258483,35600
99,0.63,0.04398491,-15.8,0.663413109,-0.290145062,0.491429789,0.063270399,0.95294281,19.02,453,1.37,0.034486176,33150
100,2.06,0.050085721,-5.6,0.662132691,0.031660878,0.47846416,0.036677144,0.978723659,23.84,453,1.32,-0.017094433,34200
101,0.35,0.056674071,236.65,0.911504425,0.14620217,0.272739052,0.027782248,0.99761382,29.74,402,1.03,-0.138469674,39200
102,-0.14,0.036927581,-3.27,0.903225806,-0.202816458,0.193387143,0.046579331,0.917187731,23.92,503,1.61,0.252413934,31250
103,0.09,0.065894863,10.46,0.904109589,0.260830948,0.216470604,0.04831185,1.155003607,25.98,503,1.28,-0.135731614,39400
104,0.86,0.039337355,13.88,0.909677419,-0.085524943,0.186160055,0.041350847,0.245153013,24.51,603,1.72,0.177168803,35050
105,0.83,0.032115563,6.97,0.9,0.184022825,0.196264889,0.031521534,0.523736575,25.65,603,1.45,-0.10086061,41500
106,0.48,0.016171765,-3.3,0.9,-0.244578313,0.139560654,0.042735969,0.436157464,21.14,704,2.25,0.276394113,31350
107,0.13,0.013834725,3.43,0.901098901,-0.202551834,0.103253247,0.036037812,0.211266025,17.9,704,2.82,0.162518929,25000
108,0.4,0.018025812,1.02,0.905759162,0.132,0.115337157,0.078438616,0.35,16.63,702,2.48,-0.090846473,28300
109,1.1,0.035782772,3.75,0.896039604,0.109540636,0.112442342,0.041411096,0.183393929,14.72,750,2.39,-0.023324673,31400
110,9.14,0.073499701,13.26,0.387213298,0.168458781,1.318839397,0.055085081,0.231588716,43.71,685,0.42,-0.021202208,163000
111,7.2,0.07995826,5.62,0.40064962,-0.024539877,1.149680869,0.046511365,0.163707055,36.97,685,0.43,0.007117468,159000
112,6.14,0.061839838,0.91,0.366846346,0.012578616,1.062517414,0.032165812,1.062261738,41.64,685,0.43,-0.007117468,161000
113,5.16,0.07011288,1.18,0.333387873,-0.236024845,0.759705208,0.039526808,1.521359042,34.04,738,0.60,0.114603383,123000
114,4.73,0.065110496,6.77,0.345726645,0.028455285,0.734432379,0.044858406,1.020261404,33.76,730,0.58,-0.012820688,126500
115,5.04,0.0671018,10.55,0.345617146,-0.138339921,0.591767268,0.028515045,0.722657134,34.45,728,0.67,0.056441311,109000
116,4.52,0.064514673,0.89,0.318645533,-0.041284404,0.529601143,0.035854325,0.221885857,25.42,826,0.79,0.076283305,104500
117,4.18,0.062291087,0.76,0.30900071,-0.13492823,0.438090958,0.0423371,0.261597655,30.26,929,1.03,0.122167634,90400
