회사명,회계년도,roa변동성
유한양행,2011,0.8072174428244224
유한양행,2012,2.1752241263833008
유한양행,2013,2.5008198655640888
유한양행,2014,0.7506219643291263
유한양행,2015,0.07571877794387553
유한양행,2016,0.7759725081040669
유한양행,2017,1.2055427546683366
유한양행,2018,1.4785240388080676
유한양행,2019,2.741757343991863
유한양행,2020,1.849927926523978
유한양행,2021,3.62715223465094
태경산업,2011,0.6404946005497115
태경산업,2012,1.6279537257960772
태경산업,2013,1.6784814565552968
태경산업,2014,2.4903078792256412
태경산업,2015,2.3388031127052935
태경산업,2016,2.0617468321789563
태경산업,2017,1.8504864225386686
태경산업,2018,1.8198992646114494
태경산업,2019,0.983378530034747
태경산업,2020,1.5279725128417627
태경산업,2021,1.5326556473432982
태경케미컬,2011,3.1146749429113787
