,회사명,회계년도,log(age),roa,cashflow,g,lvrg,주식수익률,시장가치대장부가치비율,최대주주지분율,주식수익률변동성,roa변동성,외국인지분율,소액주주지분율,총배당금,dps,시가배당률,dy변화,log시총,price
34,삼천리,2020,3.8066624897703196,0.7,0.025977279498439098,-7.16,0.6396818611640047,-0.0366863905325444,0.23732863223589132,39.18,0.0460360371256187,0.417412665516202,16.72,0.3361271508806974,10272075000.0,3000.0,3.69,0.0303053494953287,26.52259796273139,81400
35,삼천리,2021,3.828641396489095,1.75,0.08029849410290414,17.1,0.6560604525935679,0.1154791154791154,0.25216677282159805,39.19,0.0267059842393838,0.1389244398945231,20.41,0.3679563011325454,10272075000.0,3000.0,3.3,-0.0868175597586711,26.631881975330145,90800
37,NI스틸,2011,3.6109179126442243,4.67,0.018672336809256125,14.82,0.599114921391205,-0.227176220806794,0.898974170824645,57.64,0.0435505729703724,2.257993209319579,0.2,0.3985197093592853,1421000000.0,50.0,2.75,0.1839228381609283,24.66943645910708,1820
38,NI스틸,2012,3.6375861597263857,4.94,0.1594992688516753,-1.81,0.5577600568046006,-0.0604395604395604,0.7727462131433698,57.9,0.0456456015719492,2.209917042183559,0.58,0.39177341140506244,1421000000.0,50.0,2.92,0.0443358138200515,24.607093328532947,1710
39,NI스틸,2013,3.6635616461296463,5.03,0.1672669164631929,15.18,0.5529452374149306,0.0847953216374268,0.7659738496510653,57.9,0.0237072383625401,0.158850034099239,0.23,0.36044366505610015,1421334000.0,50.0,2.7,-0.0577588341521921,24.688484654077776,1855
40,NI스틸,2014,3.6888794541139363,3.28,0.12077694562994314,4.33,0.5711680222729261,0.2560646900269541,0.912987722835406,57.9,0.0671665152743915,0.1873499399519416,1.58,0.3559539660567386,1421334000.0,50.0,2.15,-0.1609303668126371,24.916468225595988,2330
41,NI스틸,2015,3.713572066704308,4.11,0.17255887515003285,-6.34,0.5562380370043255,0.1351931330472102,0.9592805815855121,57.9,0.0449898052873533,0.9854102360607632,1.57,0.42099092935024457,1421342000.0,50.0,1.89,-0.0861459507132009,25.043271023328643,2645
42,NI스틸,2016,3.7376696182833684,5.33,0.12247666973844826,-3.57,0.580947877817073,0.1852551984877126,1.0260676460002869,58.46,0.0302361077224842,0.8753856293085893,1.9,0.3303233738525373,1421342000.0,50.0,1.59,-0.1095986264128943,25.21322913210326,3135
43,NI스틸,2017,3.7612001156935624,4.79,0.09687465085743843,31.73,0.6095810289261131,-0.0653907496012758,0.8488283913435284,58.45,0.0513672399442326,1.031164390385934,1.67,0.36895783387888564,1421342000.0,50.0,1.71,0.0452907591801631,25.145602381047357,2930
44,NI스틸,2018,3.784189633918261,4.12,0.12884559815340968,0.09,0.5641858234013505,-0.2252559726962457,0.6107514237198844,58.11,0.0445066876534815,0.6113373318662367,1.31,0.41893989454658526,1430006000.0,50.0,2.2,0.1662021749140713,24.896456477166254,2270
45,NI스틸,2019,3.8066624897703196,2.55,0.05546812795979511,-1.66,0.5713346863825264,-0.0264317180616739,0.5700163103215042,58.11,0.0399786142292818,0.6061627944152707,2.53,0.41893989454658526,1430006000.0,50.0,2.26,0.0185763855729352,24.8696691612026,2210
46,NI스틸,2020,3.828641396489095,4.44,0.11885590654751962,29.92,0.577417738433272,0.160633484162896,0.6040785581768775,59.16,0.0666097070295753,1.149739100839836,2.42,0.3976585830050975,1430006000.0,50.0,1.95,-0.0999220250268877,25.018635124295677,2565
47,NI스틸,2021,3.8501476017100584,7.02,0.08210035565902474,28.89,0.5840783212190338,0.3157894736842106,0.6804607225437601,58.96,0.0875769916372578,1.0115499658115403,4.08,0.3808374280426895,2145009000.0,75.0,2.22,0.0875761892045885,25.293071969997435,3375
49,LS,2011,3.5553480614894135,1.29,-0.013465785216256956,19.23,0.7202131388063464,-0.2863849765258216,0.8783698902037638,33.45,0.0550202997151056,1.0728932845348609,12.94,0.44189223602484473,34709000000.0,1250.0,1.64,0.3080909440829881,28.525965629783105,76000
50,LS,2012,3.58351893845611,2.13,0.03605410281318768,-3.81,0.7134999306120021,0.2407894736842104,1.0505691450714458,33.43,0.035648225305765,1.5087853834569496,12.54,0.44394832298136644,34709000000.0,1250.0,1.33,-0.1249106495806156,28.741713479136184,94300
51,LS,2013,3.6109179126442243,1.64,0.049798736858935926,-3.67,0.6994913458847983,-0.1420996818663839,0.8662649560712171,33.43,0.0335941374609415,1.0516811937718271,16.78,0.4352023602484472,34709000000.0,1250.0,1.55,0.0902250915927256,28.58844611356122,80900
52,LS,2014,3.6375861597263857,0.85,0.03958822334239578,-4.88,0.7065443075940672,-0.3288009888751545,0.5764578271147436,33.42,0.0325758768335974,0.4219399641339219,20.04,0.44216826086956523,34709000000.0,1250.0,2.3,0.2578291093020997,28.189756516436663,54300
53,LS,2015,3.6635616461296463,-0.73,0.04696629145258752,-8.14,0.7010981159685755,-0.2569060773480662,0.43989517841000275,33.43,0.0538875583808608,0.6458327956987024,10.94,0.46598916149068326,34708839000.0,1250.0,3.1,0.2170645052378275,27.892823684212733,40350
54,LS,2016,3.6888794541139363,2.2,0.08317962244570186,-3.78,0.6648587877739616,0.4696406443618339,0.5865822077088255,33.42,0.0433032260384448,1.2067449330050384,20.74,0.4359747204968944,34708839000.0,1250.0,2.11,-0.2763642475191192,28.27784159550045,59300
55,LS,2017,3.713572066704308,3.71,0.023793804928398922,-1.1,0.6360210043191133,0.2225969645868466,0.6427393443480511,33.42,0.0361581043934569,1.4665037788336364,19.36,0.46600866459627327,34708839000.0,1250.0,1.72,-0.1339908458832368,28.478818851357403,72500
56,LS,2018,3.7376696182833684,4.76,0.004753248238849222,6.25,0.5844189394011611,-0.3227586206896552,0.36265586435328334,33.23,0.0454864790846056,2.257528146742214,17.73,0.4498972360248447,34708839000.0,1250.0,2.55,0.2663157231794184,28.08909132429725,49100
