,회사명,회계년도,dps,시가배당률,dy변화,log시총,price
184,대한제당,2014,550.0,2.2,0.1479201300766224,26.119426762037808,24950
185,대한제당,2015,450.0,2.23,0.009331327428884206,25.905757228232975,20150
186,대한제당,2016,650.0,2.71,0.13854973938477877,26.080606770188226,24000
187,대한제당,2017,550.0,2.24,-0.13545854681510572,26.101226057390964,24500
188,대한제당,2018,550.0,2.89,0.18283582782611685,25.846991919006722,19000
189,대한제당,2019,675.0,3.38,0.1186395667579998,25.895782083176154,19950
190,대한제당,2020,900.0,3.92,0.11625980611586195,26.05043132170651,22950
191,대한제당,2021,110.0,3.64,-0.058594164266052795,26.324955309580783,3020
192,대한제분,2010,3250.0,1.8,-0.5050949490570058,26.44649139714722,181000
193,대한제분,2011,3250.0,1.92,0.04196419909903226,26.377893080804466,169000
194,대한제분,2012,2500.1,1.8,-0.04196419909903226,26.182468299012086,139000
195,대한제분,2013,2000.0,1.3,-0.19671029424605413,26.281694932908646,153500
196,대한제분,2014,2500.0,1.61,0.12644109839949802,26.294640097500682,155500
197,대한제분,2015,2000.0,1.09,-0.22218615535788233,26.46293012349038,184000
198,대한제분,2016,2000.0,1.11,0.009523881511255494,26.440951216771605,180000
199,대한제분,2017,2000.0,1.2,0.04176941287629499,26.362989675301893,166500
200,대한제분,2018,2500.0,1.42,0.09531017980432488,26.418478360919543,176000
201,대한제분,2019,2000.0,1.36,-0.025105921131076347,26.241822541661268,147500
202,대한제분,2020,2000.0,1.2,-0.07020425867324853,26.359982154237937,166000
203,대한제분,2021,2500.0,1.62,0.17471695740873538,26.288188462219193,154500
204,세방전지,2010,300.0,0.91,-0.31607107571446713,26.85275168195177,32800
205,세방전지,2011,350.0,0.8,-0.05931657715641936,27.145375790692857,43950
206,세방전지,2012,350.0,0.74,-0.03390155167568143,27.215657175641137,47150
207,세방전지,2013,301.2,0.55,-0.11563018229528232,27.36601336051564,54800
208,세방전지,2014,300.0,0.76,0.12705887811890515,27.038623838468745,39500
209,세방전지,2015,350.0,0.86,0.055262678675049415,27.072229987867683,40850
210,세방전지,2016,350.0,0.94,0.042111485350126876,26.983993870982157,37400
211,세방전지,2017,400.0,1.12,0.08872811560868443,26.938873435701687,35750
212,세방전지,2018,500.0,1.39,0.11987727725949815,26.944452250728727,35950
213,세방전지,2019,500.0,1.34,-0.02114243657380921,26.98131649321144,37300
214,세방전지,2020,500.0,0.73,-0.3020295208599225,27.594979344581283,68900
215,세방전지,2021,600.0,0.79,0.03409421134297608,27.691739850963256,75900
216,SK텔레콤,2010,9417.6,5.43,1.2787589183968642,30.27074828247438,173500
217,SK텔레콤,2011,9420.1,6.66,0.17503744550297218,30.066870400170757,141500
218,SK텔레콤,2012,9400.0,6.16,-0.06750200277994578,30.14173527913493,152500
219,SK텔레콤,2013,9394.0,4.08,-0.34319871938216373,30.55264999201066,230000
220,SK텔레콤,2014,9400.0,3.51,-0.11901410807580359,30.705557663598324,268000
221,SK텔레콤,2015,10028.6,4.65,0.2253583916437627,30.487531592631267,215500
222,SK텔레콤,2016,10000.0,4.46,-0.03420675540153617,30.526216734942505,224000
223,SK텔레콤,2017,10000.0,3.75,-0.13930417171026366,30.701819341487717,267000
224,SK텔레콤,2018,9982.5,3.7,-0.010582109330536937,30.711139073436517,269500
225,SK텔레콤,2019,9982.7,4.19,0.0991711884617843,30.586841356758942,238000
226,SK텔레콤,2020,10025.4,4.21,0.0038461585874782767,30.586841356758942,238000
227,SK텔레콤,2021,3295.3,5.69,0.2500340183748615,30.170292761405516,57900
228,태경산업,2010,150.0,3.21,-0.46315122644584705,25.641716760801433,4680
229,태경산업,2011,150.0,4.74,0.309996562637185,25.250571706468016,3165
