종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"035290","골드앤에스","KOSDAQ","중견기업부","2665","-120","-4.31","2680","2740","2645","338322","906104300","96536720150","36223910"
"038530","골드퍼시픽","KOSDAQ","중견기업부","774","-28","-3.49","775","794","768","290386","225256625","71220717594","92016431"
"900280","골든센츄리","KOSDAQ","외국기업(소속부없음)","436","-7","-1.58","430","446","429","1277526","559940735","76986085676","176573591"
"215000","골프존","KOSDAQ","우량기업부","176600","300","0.17","172000","176700","171300","30472","5324754100","1108238289000","6275415"
"121440","골프존뉴딘홀딩스","KOSDAQ","우량기업부","8560","-120","-1.38","8620","8650","8460","40721","347894740","366683162080","42836818"
"183410","골프존데카","KONEX","일반기업부","5350","-30","-0.56","5110","5500","5110","1212","6597330","21994711350","4111161"
"366030","공구우먼","KOSDAQ","중견기업부","34800","0","0.00","33700","36900","33650","185349","6615100200","127789080000","3672100"
"076340","관악산업","KONEX","일반기업부","7340","-60","-0.81","6880","7340","6880","18","125900","35756516400","4871460"
"009290","광동제약","KOSPI",,"6790","-30","-0.44","6750","6840","6710","77302","522114280","355937578290","52420851"
"014200","광림","KOSDAQ","중견기업부","1950","30","1.56","1840","2045","1825","11382749","22152021850","176878057200","90706696"
"017040","광명전기","KOSPI",,"3525","-295","-7.72","3610","3610","3485","4152794","14721299865","152765092875","43337615"
"029480","광무","KOSDAQ","관리종목(소속부없음)","3560","-150","-4.04","3745","3745","3550","57200","204842630","92646262360","26024231"
"017900","광전자","KOSPI",,"2720","-5","-0.18","2635","2725","2610","105440","281319075","157607035360","57943763"
"037710","광주신세계","KOSPI",,"36400","-350","-0.95","36550","36550","36200","3572","129889650","291200000000","8000000"
"026910","광진실업","KOSDAQ","중견기업부","5210","10","0.19","5170","5350","5100","30053","155349280","33372160050","6405405"
"355150","교보10호스팩","KOSDAQ","SPAC(소속부없음)","2210","-15","-0.67","2225","2225","2195","11864","26143730","11757200000","5320000"
"397880","교보11호스팩","KOSDAQ","SPAC(소속부없음)","2160","-10","-0.46","2165","2165","2145","12558","27049255","9590400000","4440000"
"331520","교보9호스팩","KOSDAQ","SPAC(소속부없음)","2300","0","0.00","0","0","0","0","0","8924000000","3880000"
"030610","교보증권","KOSPI",,"7160","-130","-1.78","7240","7240","7140","40472","290310550","462917599360","64653296"
"339770","교촌에프앤비","KOSPI",,"14550","-300","-2.02","14550","14650","14100","29049","418848850","363495957000","24982540"
"053270","구영테크","KOSDAQ","중견기업부","4745","-55","-1.15","4820","5130","4630","19337476","93759648515","125240355630","26394174"
"007690","국도화학","KOSPI",,"51500","-900","-1.72","51400","51600","51000","32777","1681334000","464046724000","9010616"
"005320","국동","KOSPI",,"2090","-70","-3.24","2100","2140","2090","154559","325200750","115638947600","55329640"
"001140","국보","KOSPI",,"1170","-20","-1.68","1170","1205","1160","545873","642260345","81502281900","69660070"
"066620","국보디자인","KOSDAQ","우량기업부","18250","-450","-2.41","18300","18550","18050","14514","265349300","136875000000","7500000"
"043650","국순당","KOSDAQ","우량기업부","10300","-150","-1.44","10050","10500","10000","132910","1360061200","183940531200","17858304"
"006050","국영지앤엠","KOSDAQ","중견기업부","1690","-10","-0.59","1640","1770","1640","180018","305688540","58972960670","34895243"
"060480","국일신동","KOSDAQ","중견기업부","3775","-70","-1.82","3805","3810","3725","28633","108024065","41864750000","11090000"
"078130","국일제지","KOSDAQ","중견기업부","2885","105","3.78","2660","2960","2660","1287311","3613628415","368176409605","127617473"
"307750","국전약품","KOSDAQ","우량기업부","7500","-220","-2.85","7490","7650","7460","112888","849543300","368019517500","49069269"
"002720","국제약품","KOSPI",,"5580","-150","-2.62","5670","5800","5570","127487","724166020","112688931420","20195149"
"243870","굿센","KONEX","일반기업부","15500","-500","-3.13","15000","15500","15000","36","540500","40048977500","2583805"
"035080","그래디언트","KOSDAQ","중견기업부","4520","0","0.00","0","0","0","0","0","350923411960","77637923"
"204020","그리티","KOSDAQ","중견기업부","2980","-90","-2.93","3030","3030","2905","85638","253569905","60039341400","20147430"
"083420","그린케미칼","KOSPI",,"9570","-10","-0.10","9200","9860","9200","125023","1202699100","229680000000","24000000"
"186230","그린플러스","KOSDAQ","벤처기업부","15350","-350","-2.23","15300","15650","15150","55359","853451450","166089885800","10820188"
"014530","극동유화","KOSPI",,"4230","-120","-2.76","4280","4335","4190","381610","1624217625","147497646600","34869420"
"900070","글로벌에스엠","KOSDAQ","외국기업(소속부없음)","754","1","0.13","753","762","744","62834","47263737","40522951872","53743968"
