번호,종목코드,종목명,시장구분,사업연도,결산월,업종,업종별 배당률,주식배당,현금배당_액면가,현금배당_주당배당금,현금배당_시가배당률,현금배당_배당성향,현금배당_기말주식수,현금배당_총배당금액
"1578","121060","유니포인트","KONEX","2021","12","-",,,"500",,,,"5981670",
"1579","048430","유라테크","KOSDAQ","2021","12","일반전기전자","0.23",,"500","100","0.94","42.106","11520000","1145295200"
"1580","206650","유바이오로직스","KOSDAQ","2021","12","제약","0.3",,"500",,,,"36274307",
"1581","089850","유비벨록스","KOSDAQ","2021","12","소프트웨어","0.32",,"500",,,,"7115697",
"1582","032620","유비케어","KOSDAQ","2021","12","소프트웨어","0.32",,"500","40","0.5","14.909","52197139","2029705680"
"1583","264450","유비쿼스","KOSDAQ","2021","12","통신장비","0.28",,"500","560","2.5","19.916","10245706","5736361120"
"1584","078070","유비쿼스홀딩스","KOSDAQ","2021","12","일반전기전자","0.23",,"500","350","2.2","15.615","18696628","5779519900"
"1585","002920","유성기업","KOSPI","2021","12","운수장비","1.02",,"500","120","3.71","29.748","25947500","3077700000"
"1586","024800","유성티엔에스","KOSDAQ","2021","12","운송","0.46",,"500",,,,"31278618",
"1587","000700","유수홀딩스","KOSPI","2021","12","서비스업","0.43",,"2500","400","6","24.256","26041812","9500492000"
"1588","054930","유신","KOSDAQ","2021","12","기타서비스","0.5",,"5000","750","4.2","18.586","3000000","2250000000"
"1589","069330","유아이디","KOSDAQ","2021","12","IT부품","0.36",,"500",,,,"13579722",
"1590","049520","유아이엘","KOSDAQ","2021","12","IT부품","0.36",,"500",,,,"21784936",
"1591","367460","유안타제7호스팩","KOSDAQ","2021","12","금융","1.34",,"100",,,,"5500000",
"1592","367480","유안타제8호스팩","KOSDAQ","2021","12","금융","1.34",,"100",,,,"6490000",
"1593","003470","유안타증권","KOSPI","2021","12","증권","3.64",,"5000","180","4.5","24.981","199596576","37629033870"
"1594","263770","유에스티","KOSDAQ","2021","12","금속","0.87",,"100",,,,"23700172",
"1595","337840","유엑스엔","KONEX","2021","12","-",,,"500",,,,"3261174",
"1596","072130","유엔젤","KOSPI","2021","12","서비스업","0.43",,"500",,,,"13195454",
"1597","000220","유유제약","KOSPI","2021","12","의약품","0.12",,"1000","105","1.3","-221.059","17232351","2033747110"
"1598","388720","유일로보틱스","KOSDAQ","2021","12","-",,,,,,,,
"1599","340930","유일에너테크","KOSDAQ","2021","12","기계·장비","0.53",,"500",,,,"10674744",
"1600","023410","유진기업","KOSDAQ","2021","12","비금속","0.88",,"500","170","3.4","15.426","77310863","12071659200"
"1601","056080","유진로봇","KOSDAQ","2021","12","기계·장비","0.53",,"500",,,,"37512152",
"1602","373340","유진스팩6호","KOSDAQ","2021","12","금융","1.34",,"100",,,,"3020000",
"1603","388800","유진스팩7호","KOSDAQ","2021","12","금융","1.34",,"100",,,,"5010000",
