,종목명,종목코드
449,쿠쿠홈시스,'284740
450,크라운제과,'264900
451,크라운해태홀딩스,'005740
452,크레버스,'096240
453,크리스에프앤씨,'110790
454,클래시스,'214150
455,클리오,'237880
456,키움증권,'039490
457,태경비케이,'014580
458,태경산업,'015890
459,태경케미컬,'006890
460,태광,'023160
461,태영건설,'009410
462,태웅로직스,'124560
463,테스,'095610
464,테크윙,'089030
465,티비씨,'033830
466,티씨케이,'064760
467,티에스이,'131290
468,티플랙스,'081150
469,파마리서치,'214450
470,파세코,'037070
471,파크시스템스,'140860
472,파트론,'091700
473,팜스빌,'318010
474,팜스코,'036580
475,팜스토리,'027710
476,포스코 ICT,'022100
477,포스코스틸리온,'058430
478,포스코엠텍,'009520
479,포스코인터내셔널,'047050
480,포스코케미칼,'003670
481,포인트엔지니어링,'256630
482,푸드나무,'290720
483,풍국주정,'023900
484,풍산,'103140
485,풍산홀딩스,'005810
486,프로텍,'053610
487,피씨디렉트,'051380
488,피에스케이,'319660
489,피에스케이홀딩스,'031980
490,피제이메탈,'128660
491,하나금융지주,'086790
492,하나머티리얼즈,'166090
493,하림지주,'003380
494,하이록코리아,'013030
495,하이비젼시스템,'126700
496,하이트진로,'000080
497,한국가구,'004590
498,한국금융지주,'071050
499,한국알콜,'017890
500,한국앤컴퍼니,'000240
501,한국전자인증,'041460
502,한국종합기술,'023350
503,한국철강,'104700
504,한국카본,'017960
505,한국콜마,'161890
506,한국콜마홀딩스,'024720
507,한국타이어앤테크놀로지,'161390
508,한국토지신탁,'034830
509,한국팩키지,'037230
510,한국항공우주,'047810
511,한농화성,'011500
512,한라홀딩스,'060980
513,한미글로벌,'053690
514,한미반도체,'042700
515,한미사이언스,'008930
516,한미약품,'128940
517,한샘,'009240
518,한섬,'020000
519,한세실업,'105630
520,한솔로지스틱스,'009180
521,한솔제지,'213500
522,한솔케미칼,'014680
523,한신공영,'004960
524,한양이엔지,'045100
525,한온시스템,'018880
526,한일시멘트,'300720
527,한전KPS,'051600
528,한전기술,'052690
529,한전산업,'130660
530,한진,'002320
531,한창제지,'009460
532,한화,'000880
533,한화시스템,'272210
534,해성디에스,'195870
535,해태제과식품,'101530
536,현대건설,'000720
537,현대공업,'170030
538,현대그린푸드,'005440
539,현대글로비스,'086280
540,현대모비스,'012330
541,현대바이오랜드,'052260
542,현대백화점,'069960
543,현대비앤지스틸,'004560
544,현대오토에버,'307950
545,현대위아,'011210
546,현대이지웰,'090850
547,현대자동차,'005380
548,현대코퍼레이션,'011760
549,현대코퍼레이션홀딩스,'227840
550,현대퓨처넷,'126560
551,현대해상,'001450
552,현대홈쇼핑,'057050
553,현우산업,'092300
554,혜인,'003010
555,호전실업,'111110
556,호텔신라,'008770
557,화성산업,'002460
558,화승엔터프라이즈,'241590
559,화승코퍼레이션,'013520
560,화신,'010690
561,황금에스티,'032560
562,효성티앤씨,'298020
563,휠라홀딩스,'081660
564,휴메딕스,'200670
565,휴비츠,'065510
566,휴스틸,'005010
567,휴온스,'243070
568,휴온스글로벌,'084110
569,흥구석유,'024060
570,흥국,'010240
571,흥국에프엔비,'189980
572,희림,'037440
